ordem_triagem;dominio;n_sinais_ausentes;n_variaveis_apuradas;n_nao_aplicavel;n_nao_coletado;motivo_nao_coleta;direitos_titular_explicados;finalidade_especificada;tem_banner_cookies;tem_canal_titular;tem_politica_privacidade;transf_internacional_divulgada;direitos_titular_explicados__confianca;finalidade_especificada__confianca;tem_banner_cookies__confianca;tem_canal_titular__confianca;tem_politica_privacidade__confianca;transf_internacional_divulgada__confianca;direitos_titular_explicados__n_sentencas;direitos_titular_explicados__n_segmentos;direitos_titular_explicados__densidade;finalidade_especificada__n_sentencas;finalidade_especificada__n_segmentos;finalidade_especificada__densidade;transf_internacional_divulgada__n_sentencas;transf_internacional_divulgada__n_segmentos;transf_internacional_divulgada__densidade;extrapolacao;domain_url;run_id;protocol_version
1;atmameditacao.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://atmameditacao.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
2;casadosdados.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://casadosdados.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
3;dlkmodas.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://dlkmodas.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
4;ecuro.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://ecuro.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
5;ev.org.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://ev.org.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
6;fia.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://fia.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
7;gooroocredito.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://gooroocredito.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
8;jsevenprovedor.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://jsevenprovedor.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
9;liberdadenews.com.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://liberdadenews.com.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
10;mgapp.mg.gov.br;3;3;3;0;;nao_aplicavel;nao_aplicavel;false;false;false;nao_aplicavel;0.0;0.0;0.95;0.0822;0.95;0.0;;;;;;;;;;false;https://mgapp.mg.gov.br;4442d0f7-8640-493f-a197-1983bc6fc556;aovivo-N2KLW-v1.1.0
